placement_id,candidate_id,client_id,role,region,hourly_rate,start_date,end_date,status,end_reason
PL-00031,CND-00505,CL-0019,Intake Specialist,Peru,19.17,2026-08-13,,Active,
PL-00032,CND-00557,CL-0036,Marketing Assistant,Mexico,16.93,2025-08-17,,Active,
PL-00033,CND-00563,CL-0079,Case Manager,Philippines,12.43,2026-04-28,,Active,
PL-00034,CND-00571,CL-0085,Lawyer,Colombia,18.68,2025-12-16,,Active,
PL-00035,CND-00583,CL-0075,Legal Assistant,Philippines,17.94,2025-10-01,,Active,
PL-00036,CND-00592,CL-0069,Receptionist,Peru,16.42,2026-01-17,,Active,
PL-00037,CND-00602,CL-0061,Lawyer,Argentina,17.53,2026-02-21,2026-06-21,Ended,Staff Promoted Internally
PL-00038,CND-00615,CL-0038,Legal Assistant,South Africa,14.54,2026-05-26,2026-08-02,Ended,Performance - Replaced
PL-00039,CND-00633,CL-0073,Paralegal,Philippines,14.23,2026-03-22,,Active,
PL-00040,CND-00643,CL-0075,Paralegal,Mexico,13.28,2025-10-23,2026-04-20,Ended,Performance - Replaced
PL-00041,CND-00651,CL-0080,Lawyer,Mexico,11.79,2025-12-19,,Active,
PL-00042,CND-00652,CL-0017,Paralegal,Philippines,12.31,2025-12-19,,Active,
PL-00043,CND-00676,CL-0033,Lawyer,South Africa,17.97,2025-11-16,2026-04-26,Ended,Client Budget Cut
PL-00044,CND-00737,CL-0015,Executive Assistant,Argentina,17.84,2025-05-30,,Active,
PL-00045,CND-00740,CL-0020,Legal Assistant,Colombia,18.42,2026-03-17,,Active,
PL-00046,CND-00794,CL-0023,Marketing Assistant,Peru,14.24,2026-03-05,,Active,
PL-00047,CND-00806,CL-0063,Legal Assistant,Colombia,13.4,2026-05-30,,Active,
PL-00048,CND-00824,CL-0005,Bookkeeper,Colombia,21.83,2026-08-06,,Active,
PL-00049,CND-00830,CL-0077,Bookkeeper,Mexico,20.29,2026-01-21,,Active,
PL-00050,CND-00900,CL-0053,Intake Specialist,Colombia,19.59,2026-01-19,2026-06-10,Ended,Performance - Replaced
PL-00051,CND-00921,CL-0022,Intake Specialist,Argentina,17.57,2026-01-31,,Active,
PL-00052,CND-00923,CL-0007,Paralegal,Argentina,18.24,2026-06-27,,Active,
PL-00053,CND-00931,CL-0015,Legal Assistant,Colombia,12.05,2026-04-30,,Active,
PL-00054,CND-00940,CL-0061,Executive Assistant,South Africa,16.5,2025-11-16,,Active,
PL-00055,CND-00954,CL-0069,Paralegal,Peru,13.95,2026-06-28,,Active,
PL-00056,CND-00972,CL-0050,Legal Assistant,Peru,16.48,2026-04-28,2026-07-22,Ended,Client Budget Cut
PL-00057,CND-00994,CL-0058,Paralegal,South Africa,18.62,2026-02-18,,Active,
PL-00058,CND-01013,CL-0006,Legal Assistant,Philippines,21.14,2025-09-22,,Active,
PL-00059,CND-01028,CL-0056,Legal Assistant,Colombia,21.14,2026-05-05,,Active,
PL-00060,CND-01029,CL-0043,Intake Specialist,Philippines,14.3,2026-07-16,2026-08-25,Ended,Staff Resigned
PL-00061,CND-01039,CL-0060,Paralegal,Colombia,19.62,2026-07-29,,Active,
PL-00062,CND-01082,CL-0076,Legal Assistant,Philippines,16.96,2026-04-14,,Active,
PL-00063,CND-01115,CL-0024,Executive Assistant,South Africa,17.25,2025-10-09,,Active,
PL-00064,CND-01120,CL-0009,Case Manager,Argentina,15.82,2025-08-08,,Active,
PL-00065,CND-01128,CL-0058,Legal Assistant,Philippines,15.19,2026-03-04,,Active,
PL-00066,CND-01150,CL-0033,Paralegal,Colombia,13.53,2026-07-02,2026-08-03,Ended,Client Budget Cut
PL-00067,CND-01170,CL-0077,Bookkeeper,Philippines,21.48,2026-01-22,,Active,
PL-00068,CND-01178,CL-0016,Paralegal,Philippines,12.41,2026-08-28,,Active,
PL-00069,CND-01180,CL-0049,Lawyer,Philippines,18.39,2025-11-26,,Active,
PL-00070,CND-01225,CL-0073,Paralegal,Philippines,20.91,2025-11-11,,Active,
PL-00071,CND-01233,CL-0033,Legal Assistant,Philippines,14.59,2026-02-10,,Active,
PL-00072,CND-01257,CL-0010,Lawyer,Mexico,18.21,2025-06-08,,Active,
PL-00073,CND-01264,CL-0036,Case Manager,Colombia,19.58,2026-06-14,,Active,
PL-00074,CND-01269,CL-0042,Intake Specialist,Colombia,13.2,2025-11-07,2026-01-07,Ended,Client Ended Engagement
PL-00075,CND-01313,CL-0043,Legal Assistant,Peru,14.21,2026-07-12,,Active,
PL-00076,CND-01323,CL-0023,Intake Specialist,South Africa,16.13,2026-08-28,,Active,
PL-00077,CND-01349,CL-0026,Legal Assistant,Colombia,17.91,2026-04-22,2026-07-23,Ended,Client Budget Cut
PL-00078,CND-01379,CL-0070,Paralegal,Peru,13.79,2026-07-09,,Active,
PL-00079,CND-01419,CL-0057,Executive Assistant,Philippines,19.01,2026-02-04,2026-03-24,Ended,Client Budget Cut
PL-00080,CND-01426,CL-0033,Legal Assistant,Argentina,11.7,2025-11-21,,Active,
PL-00081,CND-01436,CL-0084,Intake Specialist,Philippines,21.3,2025-06-19,,Active,
PL-00082,CND-01439,CL-0035,Paralegal,Philippines,18.85,2026-02-15,,Active,
