escalation_id,placement_id,client_id,category,severity,date_raised,resolved,resolution_date
ESC-00068,PL-00046,CL-0023,Performance,Medium,2026-07-03,True,2026-07-11
ESC-00069,PL-00049,CL-0077,Communication,Medium,2026-05-15,True,2026-05-23
ESC-00070,PL-00049,CL-0077,Communication,Medium,2026-03-27,True,2026-04-04
ESC-00071,PL-00050,CL-0053,Attendance,Medium,2026-03-25,True,2026-04-03
ESC-00072,PL-00051,CL-0022,Performance,Medium,2026-03-30,True,2026-04-05
ESC-00073,PL-00051,CL-0022,Communication,Low,2026-02-25,True,2026-03-01
ESC-00074,PL-00052,CL-0007,Performance,High,2026-07-07,False,
ESC-00075,PL-00053,CL-0015,Communication,High,2026-05-25,True,2026-06-13
ESC-00076,PL-00054,CL-0061,Attendance,High,2026-02-22,True,2026-03-03
ESC-00077,PL-00057,CL-0058,Performance,Low,2026-06-22,True,2026-06-25
ESC-00078,PL-00058,CL-0006,Billing Dispute,Medium,2026-02-14,True,2026-02-19
ESC-00079,PL-00058,CL-0006,Attendance,Medium,2025-10-15,True,2025-10-18
ESC-00080,PL-00058,CL-0006,Performance,Medium,2026-02-19,True,2026-03-01
ESC-00081,PL-00061,CL-0060,Performance,Low,2026-08-19,True,2026-08-22
ESC-00082,PL-00062,CL-0076,Attendance,Medium,2026-06-16,False,
ESC-00083,PL-00062,CL-0076,Performance,Medium,2026-05-31,True,2026-06-05
ESC-00084,PL-00063,CL-0024,Attendance,Low,2026-08-07,False,
ESC-00085,PL-00063,CL-0024,Performance,Medium,2026-02-10,True,2026-02-20
ESC-00086,PL-00063,CL-0024,Performance,Medium,2026-02-03,True,2026-02-13
ESC-00087,PL-00064,CL-0009,Communication,Low,2026-01-04,True,2026-01-08
ESC-00088,PL-00064,CL-0009,Attendance,Medium,2026-08-26,False,
ESC-00089,PL-00064,CL-0009,Attendance,Low,2025-12-19,True,2025-12-24
ESC-00090,PL-00064,CL-0009,Technical / Access,Medium,2025-12-06,False,
ESC-00091,PL-00064,CL-0009,Communication,Medium,2026-06-13,False,
ESC-00092,PL-00064,CL-0009,Performance,High,2026-06-04,False,
ESC-00093,PL-00067,CL-0077,Performance,Low,2026-05-15,False,
ESC-00094,PL-00067,CL-0077,Communication,Low,2026-02-08,False,
ESC-00095,PL-00067,CL-0077,Billing Dispute,Low,2026-08-04,True,2026-08-05
ESC-00096,PL-00069,CL-0049,Performance,Low,2026-07-08,True,2026-07-12
ESC-00097,PL-00069,CL-0049,Billing Dispute,High,2026-01-22,True,2026-02-03
ESC-00098,PL-00070,CL-0073,Attendance,High,2025-12-30,True,2026-01-04
ESC-00099,PL-00072,CL-0010,Technical / Access,Low,2026-06-04,True,2026-06-06
ESC-00100,PL-00072,CL-0010,Performance,Low,2025-08-21,True,2025-08-23
ESC-00101,PL-00073,CL-0036,Technical / Access,Low,2026-07-02,True,2026-07-05
ESC-00102,PL-00074,CL-0042,Attendance,High,2025-11-24,True,2025-11-29
ESC-00103,PL-00077,CL-0026,Performance,Low,2026-06-26,True,2026-06-28
ESC-00104,PL-00079,CL-0057,Performance,High,2026-03-08,True,2026-03-24
ESC-00105,PL-00080,CL-0033,Performance,Low,2026-07-23,True,2026-07-24
ESC-00106,PL-00081,CL-0084,Communication,High,2026-05-13,True,2026-05-28
ESC-00107,PL-00081,CL-0084,Attendance,Low,2026-03-24,True,2026-03-28
ESC-00108,PL-00081,CL-0084,Communication,Low,2026-07-16,True,2026-07-21
ESC-00109,PL-00081,CL-0084,Technical / Access,Low,2026-03-30,True,2026-04-01
ESC-00110,PL-00081,CL-0084,Attendance,Low,2026-08-03,True,2026-08-08
ESC-00111,PL-00081,CL-0084,Attendance,Low,2025-12-14,True,2025-12-15
ESC-00112,PL-00082,CL-0035,Billing Dispute,High,2026-07-03,False,
ESC-00113,PL-00082,CL-0035,Communication,High,2026-08-13,True,2026-08-19
